Item1	Item2	Item3	Item4	Item5	Item6	Item7	Item8	Item9	Item10
5	4	3	4	2	5	3	4	3	4
4	4	4	3	3	4	4	3	4	3
3	3	2	4	4	2	5	4	4	5
5	5	4	5	3	5	2	5	3	4
4	3	3	3	4	4	3	3	4	3
3	4	4	4	2	3	4	4	3	4
5	5	5	4	3	5	5	5	4	4
4	4	3	3	4	4	3	4	3	3
3	2	4	5	5	3	4	4	4	5
4	3	3	4	3	4	3	5	3	4
4	4	5	4	2	4	5	4	3	3
5	5	4	5	4	5	4	5	5	5
3	3	3	4	3	3	3	3	4	4
4	4	2	3	5	4	5	3	3	4
3	3	4	5	2	4	4	5	5	5
5	5	3	4	3	5	3	4	3	4
4	3	4	3	4	4	5	5	4	4
3	4	5	5	3	3	4	4	5	3
4	4	3	4	4	5	3	4	3	4
5	5	4	4	5	4	4	5	4	5
4	4	4	3	3	4	3	4	4	3
3	3	3	4	2	3	4	5	5	4
5	5	5	4	4	5	3	4	3	5
4	4	3	3	4	4	5	5	4	3
3	2	4	5	5	3	4	3	3	4
4	3	3	4	3	4	4	4	4	3
4	4	4	4	2	4	3	5	5	5
5	5	4	5	4	5	4	4	4	5
3	3	3	4	3	3	5	4	4	3
4	4	4	3	4	4	3	3	5	4
